shortPostcode,Year,Population
B43,2022,30524.827203360583
B43,2023,30662.49417404774
B43,2024,30791.889899462218
B43,2025,30915.057459060066
B44,2011,37091
B44,2012,37348.91343030966
B44,2013,37599.05424313648
B44,2014,37875.9577339772
B44,2015,38176.07451557286
B44,2016,38465.40124668326
B44,2017,38726.72536404576
B44,2018,38961.38187497846
B44,2019,39180.054730921445
B44,2020,39399.95490005572
B44,2021,39613.699655388526
B44,2022,39808.59905769304
B44,2023,39988.13583944324
B44,2024,40156.88577268569
B44,2025,40317.51331577643
B45,2011,30185
B45,2012,30394.89234299148
B45,2013,30598.459257746475
B45,2014,30823.805888223604
B45,2015,31068.043710133632
B45,2016,31303.500488828395
B45,2017,31516.168480594242
B45,2018,31707.134126775356
B45,2019,31885.092126199444
B45,2020,32064.048924487928
B45,2021,32237.996389903277
B45,2022,32396.607332141604
B45,2023,32542.716031209562
B45,2024,32680.04629286126
B45,2025,32810.7664780327
B46,2011,12072
B46,2012,12155.943030133945
B46,2013,12237.356308083998
B46,2014,12327.48002924086
B46,2015,12425.1589752769
B46,2016,12519.326085841854
B46,2017,12604.379191576401
B46,2018,12680.752797032701
B46,2019,12751.924205647827
B46,2020,12823.495067630221
B46,2021,12893.062528372115
B46,2022,12956.496396011706
B46,2023,13014.930194757719
B46,2024,13069.853200179596
B46,2025,13122.132612980315
B47,2011,9355
B47,2012,9420.050285528749
B47,2013,9483.140180759261
B47,2014,9552.980092242235
B47,2015,9628.674802328977
B47,2016,9701.648072651637
B47,2017,9767.558593207194
B47,2018,9826.743076229366
B47,2019,9881.896201444286
B47,2020,9937.358876547441
B47,2021,9991.269048452712
B47,2022,10040.4260921711
B47,2023,10085.70841384679
B47,2024,10128.270103353223
B47,2025,10168.783183766636
B48,2011,5796
B48,2012,5836.302667549399
B48,2013,5875.390752290826
B48,2014,5918.660888790591
B48,2015,5965.55843445203
B48,2016,6010.769880180533
B48,2017,6051.605516432805
B48,2018,6088.273957223454
B48,2019,6122.4447229899615
B48,2020,6156.80727402127
B48,2021,6190.207953482835
B48,2022,6220.663776613971
B48,2023,6248.7189702465
B48,2024,6275.08856430094
B48,2025,6300.188918558143
B49,2011,10189
B49,2012,10259.849530652316
B49,2013,10328.563901844585
B49,2014,10404.63005450092
B49,2015,10487.072962151782
B49,2016,10566.551813174507
B49,2017,10638.338268967193
B49,2018,10702.799059722181
B49,2019,10762.86909636727
B49,2020,10823.27627933104
B49,2021,10881.99255314641
B49,2022,10935.531956507892
B49,2023,10984.851205631743
B49,2024,11031.207277719508
B49,2025,11075.332106830387
B5,2011,11983
B5,2012,12066.324165846177
B5,2013,12147.137229934602
B5,2014,12236.59652007896
B5,2015,12333.555334720268
B5,2016,12427.028204658956
B5,2017,12511.454262148774
B5,2018,12587.264808386584
B5,2019,12657.911510626069
B5,2020,12728.954721290003
B5,2021,12798.009300653002
B5,2022,12860.975506412216
B5,2023,12918.978505946136
B5,2024,12973.496595241228
B5,2025,13025.390581622192
B50,2011,5350
B50,2012,5387.201392579242
B50,2013,5423.281664036563
B50,2014,5463.222179956809
B50,2015,5506.510977280601
B50,2016,5548.243419421299
B50,2017,5585.9367689640285
B50,2018,5619.783587154155
B50,2019,5651.324925465199
B50,2020,5683.043291237715
B50,2021,5713.873801092679
B50,2022,5741.986060194055
B50,2023,5767.882417325531
B50,2024,5792.222881126644
B50,2025,5815.391772651151
B6,2011,19664
B6,2012,19800.73423993985
B6,2013,19933.347783479432
B6,2014,20080.14970965807
B6,2015,20239.258291073966
B6,2016,20392.646467196337
B6,2017,20531.18890185208
B6,2018,20655.593356597994
B6,2019,20771.52398772853
B6,2020,20888.1052857754
B6,2021,21001.423256950733
B6,2022,21104.75025937493
B6,2023,21199.932683044713
B6,2024,21289.39639896716
B6,2025,21374.55398456303
B60,2011,27951
B60,2012,28145.358154015397
B60,2013,28333.85902644597
B60,2014,28542.527691957523
B60,2015,28768.689406723373
B60,2016,28986.719965653218
B60,2017,29183.648341927765
B60,2018,29360.48056907397
B60,2019,29525.267848911728
B60,2020,29690.980006240246
B60,2021,29852.0535727741
B60,2022,29998.92567635215
B60,2023,30134.2208311525
B60,2024,30261.38724305996
B60,2025,30382.4327920322
B61,2011,23470
B61,2012,23633.19938015604
B61,2013,23791.48049625012
B61,2014,23966.696180109593
B61,2015,24156.600492855276
B61,2016,24339.677206321106
B61,2017,24505.034760296407
B61,2018,24653.517904767858
B61,2019,24791.887102928646
B61,2020,24931.032905672746
B61,2021,25066.283759186023
B61,2022,25189.609875281218
B61,2023,25303.215015818736
B61,2024,25409.99458318549
B61,2025,25511.634561518233
B62,2011,24401
B62,2012,24570.673117817958
B62,2013,24735.232875543206
B62,2014,24917.3989557245
B62,2015,25114.83632834092
B62,2016,25305.175266784878
B62,2017,25477.092168129202
B62,2018,25631.46529161654
B62,2019,25775.323272201174
B62,2020,25919.988663456345
B62,2021,26060.604601955594
B62,2022,26188.822776597215
B62,2023,26306.934367319667
B62,2024,26417.949630349754
B62,2025,26523.621428871153
B63,2011,36431
B63,2012,36684.32409963633
B63,2013,36930.013888320755
B63,2014,37201.99013794515
B63,2015,37496.766619310205
B63,2016,37780.94504914717
B63,2017,38037.61914581842
B63,2018,38268.10016142299
B63,2019,38482.881936378064
B63,2020,38698.86918562264
B63,2021,38908.810550954644
B63,2022,39100.241898865344
B63,2023,39276.583989829225
B63,2024,39442.3311742663
B63,2025,39600.100498963366
B64,2011,16528
B64,2012,16642.927965710227
B64,2013,16754.39240059744
B64,2014,16877.78246548152
B64,2015,17011.516529438086
B64,2016,17140.44247405518
B64,2017,17256.89026494158
B64,2018,17361.45479037081
B64,2019,17458.896891231547
B64,2020,17556.885891135873
B64,2021,17652.131997095286
B64,2022,17738.980486520995
B64,2023,17818.983288515206
B64,2024,17894.17939799274
B64,2025,17965.75611558471
B65,2011,23770
B65,2012,23935.285439553005
B65,2013,24095.589748439084
B65,2014,24273.04508739689
B65,2015,24465.3768093383
B65,2016,24650.7936597466
B65,2017,24818.26485949065
B65,2018,24968.645956383974
B65,2019,25108.783827721083
B65,2020,25249.708230415046
B65,2021,25386.687897565047
B65,2022,25511.59040202107
B65,2023,25626.647674734184
B65,2024,25734.79212792156
B65,2025,25837.731296433245
B66,2011,21334
B66,2012,21482.346637249633
B66,2013,21626.222620664677
B66,2014,21785.49196022403
B66,2015,21958.113119496138
B66,2016,22124.528057931588
B66,2017,22274.83645403338
B66,2018,22409.80617726107
B66,2019,22535.582422406456
B66,2020,22662.064593507548
B66,2021,22785.006293927327
B66,2022,22897.10852489345
B66,2023,23000.374484340722
B66,2024,23097.43606466464
B66,2025,23189.8258089233
B67,2011,30387
B67,2012,30598.29695631877
B67,2013,30803.226154220378
B67,2014,31030.080819130384
B67,2015,31275.953096565536
B67,2016,31512.98556746823
B67,2017,31727.076747385036
B67,2018,31919.320348196878
B67,2019,32098.469254226355
